pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_bmassprov,st_teff,st_rad,st_mass,sy_dist
CoRoT-12 b,Transit,2010,2.828042,0.04016,1.44,0.917,Mass,5675,1.12,1.08,1126.37
CoRoT-13 b,Transit,2010,4.03519,0.051,0.885,1.308,Mass,5945,1.01,1.09,1148.93
CoRoT-14 b,Transit,2010,1.51214,0.027,1.09,7.6,Mass,6035,1.21,1.13,1744.6
CoRoT-16 b,Transit,2011,5.35227,0.0618,1.17,0.535,Mass,5650,1.19,1.1,732.409
CoRoT-17 b,Transit,2011,3.7681,0.0461,1.02,2.43,Mass,5740,1.59,1.04,1176.12
CoRoT-18 b,Transit,2011,1.9000693,0.0295,1.31,3.47,Mass,5440,1,0.95,764.889
CoRoT-19 b,Transit,2011,3.89713,0.0518,1.29,1.11,Mass,6090,1.65,1.21,790.663
CoRoT-2 b,Transit,2008,1.7429935,0.02798,1.466,3.47,Mass,5625,0.91,0.96,213.283
CoRoT-20 b,Transit,2011,9.24285,0.09,0.84,4.3,Mass,5880,1.02,1.14,844.061
CoRoT-21 b,Transit,2012,2.72474,0.0417,1.3,2.26,Mass,6200,1.95,1.29,1398.834197
CoRoT-22 b,Transit,2014,9.75598,0.092,0.435,0.038,Mass,5939,1.14,1.1,627.158
CoRoT-23 b,Transit,2011,3.6313,0.048,1.05,2.8,Mass,5900,1.61,1.14,1060.97
CoRoT-24 b,Transit,2014,5.1134,0.056,0.33,0.018,Mass,4950,0.86,0.91,591.555
CoRoT-24 c,Transit,2014,11.759,0.098,0.44,0.088,Mass,4950,0.86,0.91,591.555
CoRoT-25 b,Transit,2013,4.86069,0.0578,1.08,0.27,Mass,6040,1.19,1.09,1103.48
CoRoT-26 b,Transit,2013,4.20474,0.0526,1.26,0.52,Mass,5590,1.79,1.09,1045.18
CoRoT-27 b,Transit,2014,3.57532,0.0476,1.007,10.39,Mass,5900,1.08,1.05,1010.28
CoRoT-28 b,Transit,2015,5.20851,0.0603,0.955,0.484,Mass,5150,1.78,1.01,766.183
CoRoT-29 b,Transit,2015,2.85057,0.0386,0.9,0.85,Mass,5260,0.9,0.97,806.507
CoRoT-30 b,Transit,2020,9.06005,0.0844,1.009,2.9,Mass,5650,0.91,0.98,1032.23
CoRoT-31 b,Transit,2020,4.62941,0.0586,1.46,0.84,Mass,5700,2.15,1.25,2005.76
CoRoT-4 b,Transit,2008,9.20205,0.09,1.19,0.72,Mass,6190,1.17,1.16,726.412
CoRoT-5 b,Transit,2009,4.0378962,0.04947,1.388,0.467,Mass,6100,1.19,1,882.472
CoRoT-6 b,Transit,2009,8.886593,0.0855,1.166,2.96,Mass,6090,1.02,1.05,645.294
CoRoT-7 b,Transit,2009,0.85359163,0.017016,0.15,0.01283,Mass,5275,0.83,0.82,159.906
CoRoT-8 b,Transit,2010,6.21229,0.063,0.57,0.22,Mass,5080,0.77,0.88,322.037
CoRoT-9 b,Transit,2009,95.272656,0.4021,1.066,0.84,Mass,5625,0.96,0.96,412.98
CoRoTID 223977153 b,Transit,2017,6.71837,0.071,0.57,0.15,Mass,5970,0.79,1.08,576.683
DS Tuc A b,Transit,2019,8.138268,,0.509,1.3,Mass,5428,0.96,1.01,44.0622
EPIC 201170410.02,Transit,2020,6.7987,0.0349,0.093,0.0036,M-R relationship,3648,0.28,0.29,134
EPIC 201238110 b,Transit,2019,28.1656,,0.167,0.0131,M-R relationship,3587,0.37,0.41,159.259
EPIC 201427007 b,Transit,2021,0.72091,,0.134,0.00899,M-R relationship,5633,0.94,0.93,706.391
EPIC 201497682 b,Transit,2019,2.13174,,0.062,0.00082,M-R relationship,4991,0.55,0.78,253.026
EPIC 201595106 b,Transit,2021,0.877214,,0.116,0.00705,M-R relationship,5820,0.93,1.02,232.1
EPIC 201615463 c,Transit,2019,3.80464,,0.109,0.00624,M-R relationship,5942.5,1.6,1.07,476.882
EPIC 201754305 d,Transit,2019,2.71578,,0.092,0.0034,M-R relationship,4761,0.54,0.67,334.967
EPIC 201757695.02,Transit,2020,2.0478,0.0296,0.081,0.00217,M-R relationship,4520,0.66,0.73,577.6
EPIC 201833600 c,Transit,2019,3.96151,,0.089,0.00306,M-R relationship,4292.67,0.63,0.61,257.443
EPIC 201841433 b,Transit,2019,4.1698,0.035,0.093,0.00352,M-R relationship,5053,0.63,0.8,436.488
EPIC 205950854 c,Transit,2019,8.050722,,0.117,0.00714,M-R relationship,5502.7,0.83,0.88,243.935
EPIC 206024342 b,Transit,2019,4.50756,,0.152,0.0111,M-R relationship,5724,0.82,0.93,369.888
EPIC 206024342 c,Transit,2021,0.911724,,0.125,0.008,M-R relationship,5724,1.1,0.93,369.888
EPIC 206024342 d,Transit,2021,14.647531,,0.232,0.0229,M-R relationship,5724,1.1,0.93,369.888
EPIC 206032309 b,Transit,2019,2.87814,,0.09,0.00317,M-R relationship,3489,0.37,0.22,161.365
EPIC 206042996 b,Transit,2019,5.2986,,0.152,0.0111,M-R relationship,4114,0.5,0.57,451.769
EPIC 206042996 c,Transit,2021,0.354884,,0.107,0.00588,M-R relationship,4114,0.5,0.57,451.769
EPIC 206215704 b,Transit,2019,2.255436,,0.089,0.00306,M-R relationship,3297,0.25,0.41,109.888
EPIC 206317286 b,Transit,2019,1.58252,,0.086,0.00264,M-R relationship,4864,0.67,0.71,314.35
EPIC 206317286 c,Transit,2022,17.515472,,0.187,0.0158,M-R relationship,4752,0.76,0.83,314.35
EPIC 211822797 b,Transit,2016,21.1701963,0.1195,0.171,0.0137,M-R relationship,4057,0.58,0.62,186.197
EPIC 211945201 b,Transit,2018,19.49221,0.1493,0.514,0.08495,Mass,6069,1.39,1.17,181.69
EPIC 212297394 b,Transit,2019,2.289363,,0.132,0.00879,M-R relationship,5171,0.8,0.83,418.395
EPIC 212297394 c,Transit,2016,5.213965,,0.203,0.0182,M-R relationship,5171,0.8,0.83,418.395
EPIC 212424622 b,Transit,2019,18.0983,,0.194,0.0168,M-R relationship,5782.33,1.22,1.11,611.804
EPIC 212499991 b,Transit,2019,34.885,,0.143,0.01,M-R relationship,4982.79,0.76,0.91,283.29
EPIC 212587672 b,Transit,2019,15.28078,,0.112,0.00669,M-R relationship,6004,0.98,0.99,320.07
EPIC 212587672 c,Transit,2016,23.228555,,0.207,0.0189,M-R relationship,6004,0.98,0.99,320.07
EPIC 212624936 b,Transit,2021,0.578657,,0.107,0.00588,M-R relationship,5765,0.93,1,561.929
EPIC 212624936 c,Transit,2021,11.811437,,0.205,0.0186,M-R relationship,5765,0.93,1,561.929
EPIC 212737443 b,Transit,2019,13.603,0.098,0.231,0.0227,M-R relationship,4684,0.67,0.69,336.25
EPIC 212737443 c,Transit,2019,65.55,0.28,0.24,0.0242,M-R relationship,4684,0.67,0.69,336.25
EPIC 220492298 b,Transit,2021,0.762406,,0.088,0.00295,M-R relationship,5620,0.89,0.95,624.512
EPIC 220554210 c,Transit,2019,0.70531,,0.143,0.01,M-R relationship,5499,1,0.94,496.289
EPIC 220674823 b,Transit,2016,0.571212,0.01312,0.143,0.02429,Mass,5613,0.95,0.93,244.59
EPIC 220674823 c,Transit,2016,13.334615,0.1091,0.196,0.01825,Mass,5613,0.95,0.93,244.59
EPIC 228836835 b,Transit,2021,0.728113,,0.098,0.0043,M-R relationship,3782,0.32,0.42,150.124
EPIC 246851721 b,Transit,2018,6.180235,0.07229,1.051,3,Mass,6202,1.59,1.32,372.632
EPIC 248847494 b,Transit,2018,3650,4.5,1.11,13,Mass,4898,2.7,0.9,551.886
EPIC 249893012 b,Transit,2020,3.5951,0.047,0.174,0.02753,Mass,5430,1.71,1.05,321.296
EPIC 249893012 c,Transit,2020,15.624,0.13,0.327,0.04616,Mass,5430,1.71,1.05,321.296
EPIC 249893012 d,Transit,2020,35.747,0.22,0.352,0.03203,Mass,5430,1.71,1.05,321.296
G 9-40 b,Transit,2019,5.746007,0.0385,0.181,0.015,M-R relationship,3348,0.31,0.29,27.9276
GJ 1132 b,Transit,2015,1.628931,0.0153,0.101,0.00522,Mass,3270,0.21,0.18,12.613
GJ 1214 b,Transit,2009,1.58040433,0.0149,0.245,0.02571,Mass,3250,0.21,0.18,14.6427
GJ 1252 b,Transit,2020,0.5182349,0.00916,0.106,0.00658,Mass,3458,0.39,0.38,20.373
GJ 143 b,Transit,2019,35.61253,0.1915,0.233,0.07142,Mass,4640,0.69,0.73,16.32
GJ 3473 b,Transit,2020,1.1980035,0.01589,0.113,0.00585,Mass,3347,0.36,0.36,27.3644
GJ 357 b,Transit,2019,3.93072,0.035,0.109,0.00579,Mass,3505,0.34,0.34,9.44181
GJ 367 b,Transit,2021,0.321962,0.0071,0.064,0.00172,Mass,3522,0.46,0.45,9.41263
GJ 3929 b,Transit,2022,2.6162745,0.02569,0.103,0.00381,Mass,3369,0.32,0.31,15.8095
GJ 9827 b,Transit,2017,1.2089819,0.0188,0.141,0.01545,Mass,4340,0.6,0.61,29.661
GJ 9827 c,Transit,2017,3.6480957,0.03925,0.111,0.00264,Mass,4340,0.6,0.61,29.661
GJ 9827 d,Transit,2017,6.2014698,0.05591,0.18,0.01271,Mass,4340,0.6,0.61,29.661
HAT-P-1 b,Transit,2006,4.46529976,0.05561,1.319,0.525,Mass,5980,1.17,1.15,158.979
HAT-P-11 b,Transit,2008,4.88780244,0.05254,0.389,0.084,Mass,4780,0.68,0.81,37.7647
HAT-P-12 b,Transit,2009,3.2130598,0.0384,0.959,0.211,Mass,4650,0.7,0.73,142.751
HAT-P-13 b,Transit,2009,2.91625,0.04383,1.272,0.851,Mass,5653,1.76,1.32,246.81
HAT-P-14 b,Transit,2010,4.62767,0.0596,1.42,3.44,Mass,6600,1.82,2.65,222.663
HAT-P-15 b,Transit,2010,10.8635,0.0965,1.06,1.94,Mass,5568,1.07,1,192.516
HAT-P-16 b,Transit,2010,2.77596,0.0413,1.289,4.193,Mass,6158,1.24,1.22,226.637
HAT-P-17 b,Transit,2010,10.33852,0.0882,1.05,0.58,Mass,5246,0.87,0.99,92.3831
HAT-P-18 b,Transit,2010,5.508023,0.0559,0.995,0.197,Mass,4803,0.75,0.77,161.4
HAT-P-19 b,Transit,2010,4.008778,0.0466,1.132,0.292,Mass,4990,0.82,0.84,202.078
HAT-P-2 b,Transit,2007,5.6335158,0.06814,0.951,8.7,Mass,6380,1.39,1.33,127.774
HAT-P-20 b,Transit,2010,2.875317,0.0361,0.867,7.246,Mass,4595,0.69,0.76,71.0374
HAT-P-21 b,Transit,2010,4.12448,0.0494,1.11,4.87,Mass,5588,1.21,1.24,277.278
HAT-P-22 b,Transit,2010,3.21222,0.0414,1.15,2.47,Mass,5302,1.11,1.13,81.7647
HAT-P-23 b,Transit,2010,1.21288,0.0232,1.09,1.34,Mass,5905,0.96,0.58,364.813
HAT-P-24 b,Transit,2010,3.35524,0.04651,1.3,0.75,Mass,6373,1.38,1.37,415.344
HAT-P-25 b,Transit,2010,3.65281514,0.0466,1.135,0.569,Mass,5519,0.92,1.01,300.384
HAT-P-26 b,Transit,2010,4.23452,0.0479,0.63,0.07,Mass,5079,0.87,1.12,141.837
HAT-P-27 b,Transit,2011,3.039577,0.04,1.02,0.62,Mass,5316,0.86,0.92,199.173
HAT-P-28 b,Transit,2011,3.257215,0.0434,1.212,0.626,Mass,5680,1.1,1.03,401.319
HAT-P-29 b,Transit,2011,5.72319,0.0667,1.17,0.88,Mass,6087,1.3,1.45,313.576
HAT-P-3 b,Transit,2007,2.8997,0.03866,0.94,0.65,Mass,5185,0.87,1.06,134.554
HAT-P-30 b,Transit,2011,2.8106,0.0419,1.44,0.83,Mass,6304,1.31,1.55,213.985
HAT-P-31 b,Transit,2011,5.00542,0.061,1.09,2.27,Mass,6065,1.39,1.31,344.05
HAT-P-32 b,Transit,2011,2.1500082,0.03397,1.98,0.68,Mass,6001,1.37,1.13,289.205
HAT-P-33 b,Transit,2011,3.47447,0.04995,1.85,0.92,Mass,6446,1.79,1.82,396.11
HAT-P-34 b,Transit,2011,5.452654,0.06774,1.197,3.33,Mass,6442,1.53,1.39,249.325
HAT-P-35 b,Transit,2011,3.646706,0.04978,1.332,1.056,Mass,6096,1.44,1.24,506.965
HAT-P-36 b,Transit,2011,1.32734683,0.0241,1.277,1.8482,Mass,5620,1.04,1.03,294.419
HAT-P-37 b,Transit,2011,2.797436,0.0379,1.178,1.169,Mass,5500,0.88,0.93,390.594
HAT-P-38 b,Transit,2012,4.640382,0.0523,0.825,0.267,Mass,5330,0.92,0.89,255.206
HAT-P-39 b,Transit,2012,3.54387,0.0509,1.571,0.599,Mass,6430,1.62,1.4,697.004
HAT-P-4 b,Transit,2007,3.056536,0.04438,1.274,0.671,Mass,5860,1.62,0.56,320.451
HAT-P-40 b,Transit,2012,4.45724,0.0608,1.52,0.48,Mass,6080,1.94,1.03,464.469
HAT-P-41 b,Transit,2012,2.69405,0.04258,2.05,1.19,Mass,6390,2.05,2.56,348.185
HAT-P-42 b,Transit,2012,4.641878,0.0575,1.28,1.044,Mass,5743,1.53,1.18,405.238
HAT-P-43 b,Transit,2012,3.3326414,0.0444,1.216,0.662,Mass,5693,1.08,1.03,528.825
HAT-P-44 b,Transit,2014,4.301219,0.0507,1.242,0.352,Mass,5295,0.95,0.94,347.85
HAT-P-45 b,Transit,2014,3.128992,0.0452,1.426,0.892,Mass,6330,1.32,1.26,298.64
HAT-P-46 b,Transit,2014,4.463129,0.0577,1.284,0.493,Mass,6120,1.4,1.28,290.736
HAT-P-49 b,Transit,2014,2.69155,0.04378,1.59,2.2,Mass,6820,2.06,2.22,350.351
HAT-P-5 b,Transit,2007,2.78849,0.04073,1.21,0.98,Mass,5960,1.12,1.04,303.336
HAT-P-50 b,Transit,2015,3.1220109,0.0453,1.288,1.35,Mass,6280,1.7,1.27,515.458
HAT-P-51 b,Transit,2015,4.2180278,0.05069,1.293,0.309,Mass,5449,1.04,0.98,440.089
HAT-P-52 b,Transit,2015,2.7535953,0.03694,1.009,0.818,Mass,5131,0.89,0.89,361.155
HAT-P-53 b,Transit,2015,1.9616241,0.03159,1.318,1.484,Mass,5956,1.21,1.09,666.802
HAT-P-54 b,Transit,2015,3.799847,0.04117,0.944,0.76,Mass,4390,0.62,0.65,143.651
HAT-P-55 b,Transit,2015,3.5852467,0.04604,1.182,0.582,Mass,5808,1.01,1.01,511.388
HAT-P-56 b,Transit,2015,2.79083,0.0423,1.51,2.31,Mass,6566,1.47,1.42,320.639
HAT-P-57 b,Transit,2015,2.4653,0.0406,1.74,1.41,Mass,6330,1.85,2.77,279.86
HAT-P-58 b,Transit,2021,4.0138379,0.04994,1.332,0.372,Mass,6078,1.53,1.03,515.59
HAT-P-59 b,Transit,2021,4.1419771,0.05064,1.123,1.54,Mass,5678,1.1,1.01,265.471
HAT-P-6 b,Transit,2007,3.85298,0.05239,1.48,1.32,Mass,6570,1.62,1.79,275.358
HAT-P-60 b,Transit,2021,4.7947813,0.06277,1.631,0.574,Mass,6212,2.2,1.44,233.22
HAT-P-61 b,Transit,2021,1.90231289,0.0301,0.899,1.057,Mass,5587,0.94,1,338.84
HAT-P-62 b,Transit,2021,2.6453235,0.03772,1.073,0.761,Mass,5629,1.17,1.02,348.815
HAT-P-63 b,Transit,2021,3.377728,0.04294,1.119,0.614,Mass,5400,0.97,0.93,4483.05
HAT-P-64 b,Transit,2021,4.007232,0.05387,1.703,0.58,Mass,6457,1.74,1.3,651.897
HAT-P-65 b,Transit,2016,2.6054552,0.03951,1.89,0.527,Mass,5835,1.86,1.21,738.519
HAT-P-66 b,Transit,2016,2.972086,0.04363,1.59,0.783,Mass,6002,1.88,1.25,935.456
HAT-P-67 b,Transit,2017,4.8101025,0.06505,2.085,0.34,Mass,6406,2.55,1.64,371.686
HAT-P-68 b,Transit,2020,2.29840551,0.02996,1.072,0.724,Mass,4508,0.67,0.68,202.152
HAT-P-69 b,Transit,2019,4.7869491,0.06555,1.676,3.58,Mass,7394,1.93,1.65,341.263
HAT-P-7 b,Transit,2008,2.20474,0.03676,1.51,1.84,Mass,6389,2,1.56,341.079
HAT-P-70 b,Transit,2019,2.74432452,0.04739,1.87,6.78,Mass,8450,1.86,1.89,330.739
HAT-P-8 b,Transit,2008,3.07634,0.04496,1.4,1.28,Mass,6200,1.57,1.27,211.553
HAT-P-9 b,Transit,2008,3.92281072,0.05287,1.393,0.749,Mass,6350,1.34,1.28,455.203
HATS-1 b,Transit,2012,3.446459,0.0444,1.302,1.855,Mass,5870,1.04,0.99,283.971
HATS-10 b,Transit,2015,3.312846,0.04491,0.969,0.526,Mass,5880,1.1,1.1,534.889
HATS-11 b,Transit,2016,3.619188,0.0507,1.609,0.83,Mass,6563,1.54,1.33,944.603
HATS-12 b,Transit,2016,3.142702,0.0441,0.692,2.39,Mass,6357,1.17,1.16,746.138
HATS-13 b,Transit,2015,3.0440499,0.04057,1.212,0.543,Mass,5523,0.89,0.96,421.855
HATS-14 b,Transit,2015,2.7667641,0.03815,1.039,1.071,Mass,5346,0.93,0.97,513.011
HATS-15 b,Transit,2016,1.74748753,0.02712,1.105,2.17,Mass,5311,0.92,0.87,1139.55
HATS-16 b,Transit,2016,2.686502,0.03744,1.3,3.27,Mass,5738,1.24,0.97,757.044
HATS-17 b,Transit,2016,16.254611,0.1308,0.777,1.338,Mass,5846,1.09,1.13,400.331
HATS-18 b,Transit,2016,0.83784,0.0174,1.329,1.9795,Mass,5600,1.02,1.04,624.368
HATS-2 b,Transit,2013,1.354133,0.023,1.168,1.345,Mass,5227,0.9,0.88,341.925
HATS-22 b,Transit,2017,4.7228124,0.05025,0.953,2.74,Mass,4803,0.69,0.76,229.518
HATS-23 b,Transit,2017,2.1605156,0.03397,1.86,1.47,Mass,5780,1.2,1.12,639.004
HATS-24 b,Transit,2017,1.3484978,0.0238,1.395,2.26,Mass,6125,1.12,1.07,494.182
HATS-25 b,Transit,2016,4.2986432,0.05163,1.26,0.613,Mass,5715,1.11,0.99,471.158
HATS-26 b,Transit,2016,3.3023881,0.04735,1.75,0.65,Mass,6071,2.04,1.3,861.843
HATS-27 b,Transit,2016,4.637038,0.0611,1.5,0.53,Mass,6438,1.74,1.42,816.988
HATS-28 b,Transit,2016,3.1810781,0.04131,1.194,0.672,Mass,5498,0.92,0.93,535.383
HATS-29 b,Transit,2016,4.6058749,0.05475,1.251,0.653,Mass,5670,1.07,1.03,353.891
HATS-3 b,Transit,2013,3.547851,0.0485,1.381,1.071,Mass,6351,1.4,1.21,411.211
HATS-30 b,Transit,2016,3.1743516,0.04354,1.175,0.706,Mass,5943,1.06,1.09,342.14
HATS-31 b,Transit,2016,3.37796,0.0478,1.64,0.88,Mass,6050,1.87,1.27,773.974
HATS-32 b,Transit,2016,2.8126548,0.04024,1.249,0.92,Mass,5700,1.1,1.1,745.116
HATS-33 b,Transit,2016,2.5495551,0.03727,1.23,1.192,Mass,5659,1.02,1.06,248.46
HATS-34 b,Transit,2016,2.1061607,0.03166,1.43,0.941,Mass,5380,0.98,0.95,508.842
HATS-35 b,Transit,2016,1.8209993,0.03199,1.464,1.222,Mass,6300,1.43,1.32,514.555
HATS-36 b,Transit,2018,4.175186,0.0523,1.153,3.216,Mass,5950,1.1,1.1,856.436
HATS-37 A b,Transit,2020,4.3315366,0.04913,0.606,0.099,Mass,5326,0.88,0.84,211.896
HATS-38 b,Transit,2020,4.375021,0.05036,0.614,0.074,Mass,5732,1.1,0.89,343.525
HATS-39 b,Transit,2018,4.5776348,0.06007,1.57,0.63,Mass,6572,1.62,1.38,878.521
HATS-4 b,Transit,2014,2.516729,0.0362,1.02,1.323,Mass,5403,0.93,1,416.459
HATS-40 b,Transit,2018,3.2642736,0.04997,1.58,1.59,Mass,6460,2.26,1.56,1342.29
HATS-41 b,Transit,2018,4.193649,0.0583,1.33,9.7,Mass,6424,1.71,1.5,737.668
HATS-42 b,Transit,2018,2.292102,0.03689,1.4,1.88,Mass,6060,1.48,1.27,800.377
HATS-43 b,Transit,2018,4.3888497,0.04944,1.18,0.261,Mass,5099,0.81,0.84,362.273
HATS-44 b,Transit,2018,2.7439004,0.03649,1.067,0.56,Mass,5080,0.85,0.86,446.035
HATS-45 b,Transit,2018,4.1876244,0.05511,1.286,0.7,Mass,6450,1.31,1.27,772.11
HATS-46 b,Transit,2018,4.7423729,0.05367,0.903,0.173,Mass,5495,0.85,0.92,453.808
HATS-47 b,Transit,2020,3.9228038,0.04269,1.117,0.369,Mass,4512,0.66,0.67,300.67
HATS-48 A b,Transit,2020,3.1316666,0.03769,0.8,0.243,Mass,4546,0.72,0.73,263.609
HATS-49 b,Transit,2020,4.1480467,0.04515,0.765,0.353,Mass,4405,0.7,0.71,324.413
HATS-5 b,Transit,2014,4.763387,0.0542,0.912,0.237,Mass,5304,0.87,0.94,246.384
HATS-50 b,Transit,2017,3.8297015,0.05046,1.13,0.39,Mass,5990,1.12,1.17,756.742
HATS-51 b,Transit,2017,3.3488702,0.04639,1.41,0.768,Mass,5758,1.44,1.19,389.57
HATS-52 b,Transit,2017,1.36665436,0.02498,1.382,2.24,Mass,6010,1.05,1.11,555.134
HATS-53 b,Transit,2017,3.8537768,0.04753,1.34,0.595,Mass,5644,1.1,0.96,585.77
HATS-54 b,Transit,2019,2.5441828,0.03763,1.067,0.76,Mass,5702,1.32,1.1,748.585
HATS-55 b,Transit,2019,4.2042001,0.05412,1.251,0.921,Mass,6214,1.13,1.2,609.838
HATS-56 b,Transit,2019,4.324799,0.06043,1.688,0.602,Mass,6536,2.2,1.57,564.409
HATS-57 b,Transit,2019,2.350621,0.03493,1.139,3.147,Mass,5587,0.96,1.03,279.485
HATS-58 A b,Transit,2019,4.2180896,0.05798,1.095,1.03,Mass,7175,1.43,1.46,403.591
HATS-59 b,Transit,2018,5.416081,0.06112,1.126,0.806,Mass,5670,1.04,1.04,642.884
HATS-6 b,Transit,2015,3.3252725,0.03623,0.998,0.319,Mass,3724,0.57,0.57,169.318
HATS-60 b,Transit,2018,3.560829,0.04708,1.153,0.662,Mass,5688,1.46,1.1,486.474
HATS-61 b,Transit,2018,7.817953,0.07908,1.195,3.4,Mass,5542,1.66,1.08,679.761
HATS-62 b,Transit,2018,3.2768837,0.04163,1.055,0.179,Mass,5416,0.93,0.9,523.067
HATS-63 b,Transit,2018,3.0566527,0.04026,1.207,0.96,Mass,5627,1.07,0.93,623.232
HATS-64 b,Transit,2018,4.908897,0.06562,1.679,0.96,Mass,6554,2.11,1.56,1080.15
HATS-65 b,Transit,2018,3.105161,0.04497,1.501,0.821,Mass,6277,1.31,1.26,493.32
HATS-66 b,Transit,2018,3.1414391,0.04714,1.411,5.33,Mass,6626,1.84,1.41,1477.98
HATS-67 b,Transit,2018,1.6091788,0.03032,1.685,1.45,Mass,6594,1.44,1.44,960.109
HATS-68 b,Transit,2018,3.5862202,0.05071,1.232,1.29,Mass,6147,1.75,1.35,603.955
HATS-69 b,Transit,2018,2.2252577,0.03211,0.945,0.577,Mass,5137,0.88,0.89,414.537
HATS-7 b,Transit,2015,3.185315,0.04012,0.563,0.12,Mass,4985,0.81,0.85,240.707
HATS-70 b,Transit,2019,1.8882378,0.03632,1.384,12.9,Mass,7930,1.88,1.78,1458.83
HATS-71 b,Transit,2020,3.7955202,0.03745,1.024,0.37,Mass,3405,0.48,0.49,140.225
HATS-72 b,Transit,2020,7.3279474,0.066517,0.722,0.1254,Mass,4656.1,0.72,0.73,127.589
HATS-74 A b,Transit,2021,1.73185606,0.02384,1.032,1.46,Mass,3776.9,0.58,0.6,299.389
HATS-75 b,Transit,2021,2.7886556,0.032742,0.884,0.491,Mass,3790.4,0.58,0.6,194.964
HATS-76 b,Transit,2021,1.9416423,0.02658,1.079,2.629,Mass,4016,0.63,0.66,385.689
HATS-77 b,Transit,2021,3.0876262,0.03607,1.165,1.374,Mass,4071,0.64,0.66,436.176
HATS-8 b,Transit,2015,3.583893,0.04667,0.873,0.138,Mass,5679,1.09,1.06,794.637
HATS-9 b,Transit,2015,1.915291,0.0312,1.236,0.837,Mass,5599,1.56,1.1,638.7
HD 106315 b,Transit,2017,9.55237,0.0907,0.218,0.03964,Mass,6327,1.3,1.09,109.353
HD 106315 c,Transit,2017,21.05704,0.1536,0.388,0.04782,Mass,6327,1.3,1.09,109.353
HD 108236 b,Transit,2020,3.795963,0.04527,0.144,0.0102,M-R relationship,5660,0.88,0.87,64.5978
HD 108236 c,Transit,2020,6.203449,0.062,0.185,0.0155,M-R relationship,5660,0.88,0.87,64.5978
HD 108236 d,Transit,2020,14.175685,0.1074,0.227,0.022,M-R relationship,5660,0.88,0.87,64.5978
HD 108236 e,Transit,2020,19.590025,0.1367,0.275,0.0306,M-R relationship,5660,0.88,0.87,64.5978
HD 108236 f,Transit,2021,29.54115,0.1758,0.18,0.0149,M-R relationship,5660,0.88,0.87,64.5978
HD 110082 b,Transit,2021,10.18271,0.113,0.285,0.0325,M-R relationship,6200,1.19,1.21,105.096
HD 110113 b,Transit,2021,2.541,0.035,0.183,0.01432,Mass,5732,0.97,1,106.307
HD 137496 b,Transit,2021,1.62116,0.02732,0.117,0.01271,Mass,5799,1.59,1.04,155.317
HD 1397 b,Transit,2018,11.53533,0.1097,1.026,0.415,Mass,5521,2.34,1.32,79.5702
HD 152843 b,Transit,2021,11.6264,0.1053,0.304,0.03637,Mass,6310,1.43,1.15,107.898
HD 152843 c,Transit,2021,24.38,,0.52,0.08652,Mass,6310,1.43,1.15,107.898
HD 15337 b,Transit,2019,4.75615,0.0522,0.146,0.02363,Mass,5125,0.86,0.9,44.8155
HD 15337 c,Transit,2019,17.1784,0.1268,0.213,0.02552,Mass,5125,0.86,0.9,44.8155
HD 183579 b,Transit,2021,17.471278,0.1334,0.317,0.06198,Mass,5788,0.98,1.03,57.2651
HD 191939 b,Transit,2020,8.88029,0.078,0.302,0.03272,Mass,5348,0.94,0.81,53.6089
HD 191939 c,Transit,2020,28.5805,0.17,0.275,0.02265,Mass,5348,0.94,0.81,53.6089
HD 191939 d,Transit,2020,38.3525,0.207,0.271,0.01825,Mass,5348,0.94,0.81,53.6089
HD 202772 A b,Transit,2019,3.308958,0.05208,1.545,1.017,Mass,6272,2.59,1.72,161.498
HD 207897 b,Transit,2021,16.202159,0.1163,0.223,0.04531,Mass,5070,0.78,0.8,28.2938
HD 213885 b,Transit,2019,1.008035,0.02012,0.156,0.02778,Mass,5978,1.1,1.07,48.0883
HD 21749 c,Transit,2019,7.78993,0.0695,0.08,0.01164,Mass,4640,0.69,0.73,16.32
HD 219666 b,Transit,2018,6.03607,0.06356,0.42,0.05223,Mass,5527,1.03,0.92,94.1719
HD 221416 b,Transit,2019,14.2767,0.1228,0.836,0.19,Mass,5080,2.94,1.21,95.5483
HD 23472 b,Transit,2019,17.667,0.121,0.167,0.05638,Mass,4813,0.73,0.75,39.0341
HD 23472 c,Transit,2019,29.625,0.17,0.192,0.05405,Mass,4813,0.73,0.75,39.0341
HD 2685 b,Transit,2019,4.12688,0.0568,1.44,1.17,Mass,6801,1.56,1.43,196.852
HD 3167 b,Transit,2016,0.959622,0.01815,0.143,0.01579,Mass,5438,0.83,0.88,47.2899
HD 3167 c,Transit,2016,29.875221,0.1795,0.205,0.03083,Mass,5438,0.83,0.88,47.2899
HD 332231 b,Transit,2020,18.71204,0.1436,0.867,0.244,Mass,6089,1.28,1.13,80.6665
HD 5278 b,Transit,2021,14.339156,0.1202,0.219,0.02454,Mass,6203,1.19,1.13,57.5846
HD 63433 b,Transit,2020,7.10793,0.0719,0.192,0.0166,M-R relationship,5640,0.91,0.99,22.4035
HD 63433 c,Transit,2020,20.5453,0.1458,0.238,0.0239,M-R relationship,5640,0.91,0.99,22.4035
HD 63935 b,Transit,2021,9.058811,,0.267,0.03398,Mass,5534,0.96,0.93,48.9739
