Formulation,RemovedM,dGtotal,dG1,Z,Hybrid,OS,BV_vac,Charge_vac,Mag_vac,Mag_env,Mag_inst,BV_Oxygen,Total_d_electrons,d_up_tot,d_down_tot,d_diff,t2g,eg,band_center_diff,instabilityindex,Ionicradius
AlFeTi,Al(9),0.615655971,8.22093203,13,1.150365777,3,2.982349218,0.4012,0,0.3856,0.3856,2.394482113,0,0,0,0,0,0,0.491954945,0.384691466,53.5
FeTiV,V(2),-1.913667113,7.221969024,23,1.954864497,3.8,3.543250377,8.8919,-0.4118,11.1858,11.5976,2.11907861,3.3711,1.3852,1.9859,0.6007,2.0729,1.2982,3.647644567,0.408846222,58
FeTiV,Fe(3),0.283663831,3.679939891,26,0.536768435,2.7,2.60236201,12.6611,3.2956,9.8977,6.6021,2.153887084,6.0777,4.9167,1.161,3.7557,3.6916,2.3862,4.597361067,0.408846222,55
FeTiV,Fe(4),0.572107692,3.968383751,26,0.536768435,2.7,2.60236201,12.6611,3.2956,9.8977,6.6021,2.11907861,6.0777,4.9167,1.161,3.7557,3.6916,2.3862,4.597361067,0.408846222,55
FeTiV,Fe(5),0.263878834,3.660154893,26,0.602031012,2.5,2.618024839,12.6133,3.3455,10.6554,7.3099,2.153887084,6.0194,4.9327,1.0867,3.846,3.6177,2.4016,4.82037101,0.408846222,55
FeTiV,Fe(6),0.77827327,4.174549329,26,0.602031012,2.5,2.618024839,12.6133,3.3455,10.6554,7.3099,2.224560207,6.0194,4.9327,1.0867,3.846,3.6177,2.4016,4.82037101,0.408846222,55
FeTiV,Fe(7),0.777310803,4.173586862,26,0.579250213,2.7,2.593396145,12.7123,3.383,12.8624,9.4794,2.153887084,5.9998,4.9352,1.0646,3.8706,3.6654,2.3344,4.764561716,0.408846222,55
FeTiV,Fe(8),0.035645085,3.431921144,26,0.579250213,2.7,2.593396145,12.7123,3.383,12.8624,9.4794,2.11907861,5.9998,4.9352,1.0646,3.8706,3.6654,2.3344,4.764561716,0.408846222,55
FeTiV,Fe(9),0.034560167,3.430836226,26,0.891423563,2.7,3.509322905,12.716,0.6098,6.2213,5.6115,2.224560207,6.27,3.5067,2.7633,0.7434,3.4106,2.8594,4.169576828,0.408846222,58.5
TiVFe,V,-2.470328126,6.665308011,23,1.441221641,3.3,2.858786823,8.7231,-1.1637,2.6875,3.8512,2.217333828,3.2738,0.9709,2.3029,1.332,1.9327,1.3411,4.001249055,0.465190551,64
TiVFe,Fe,0.056040775,3.452316834,26,0.729431341,2.4,2.375304118,11.5722,2.5637,-1.7547,-4.3184,2.095323988,6.3846,3.238,3.1466,0.0914,3.3798,3.0048,4.918306939,0.465190551,61
VFeTi,V(3),-3.951773063,5.183863074,23,1.205192291,2.8,2.967051848,9.665,-1.4508,-5.3792,-3.9284,2.176825352,3.5007,0.7562,2.7445,1.9883,1.9388,1.5619,4.558608194,0.405156583,64
